,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,22836,585,4,7,218,3,1,4,0,0,0,304,22,4,12
Bot,39,354,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,3,3,23994,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,8,0,0,2046,2,3,0,0,0,0,0,0,0,0,0
DoS Hulk,69,0,0,6,23919,0,0,0,0,0,1,0,0,0,5
DoS Slowhttptest,3,0,0,0,0,1092,3,0,0,0,0,2,0,0,0
DoS slowloris,2,0,0,1,0,5,1150,0,0,0,0,0,1,0,0
FTP-Patator,2,0,0,0,0,0,0,1586,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,1,0,0,0,0,0,1,0,0,0,23994,1,2,0,1
SSH-Patator,8,0,0,0,0,0,0,0,0,0,0,1116,9,47,0
Web Attack - Brute Force,7,0,0,0,0,0,0,0,0,0,1,23,220,1,50
Web Attack - Sql Injection,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
Web Attack - XSS,5,0,0,0,1,1,0,0,0,0,0,0,90,0,33
